type,text,listPrice,lastSoldPrice,sqft,stories,beds,baths,baths_full,garage,zip code ,sold_to_list_ratio
single_family,"Welcome to [Redacted entity], a detached home in sought after Raintree community with a 2-car garage and a large backyard with patio--perfect for entertaining and outdoor enjoyment. Inside offers a spacious layout and endless potential, making it the perfect blank canvas for your design ideas and personal updates. First floor offers primary en suite bedroom + den. And second floor offers full bath and beautiful room to use however best fits your needs. Enjoy peace of mind with newer HVAC(only 4 years old!) Located in the desirable Raintree community, residents enjoy resort-style amenities including a 9-hole golf course, outdoor pool, tennis and pickleball courts, a clubhouse, and scenic walking paths. All in a prime location close to major highways, shopping, dining, and so much more!",475000,504000,1586,2,1,3,2,2,7728,1.061053
single_family,"Offer Accepted!!! No more showings! Fall in love with this updated Fox Hill home! A sun filled living room with French doors opens to a cozy family room with a wood burning fireplace and built ins. The stylish kitchen features stainless steel appliances, ceramic tile, and a pantry, flowing to a bright breakfast area and screened porch overlooking a serene yard, perfect for relaxing or entertaining. A formal dining room is ideal for gatherings. Upstairs offers 4 spacious bedrooms and 2 full baths, plus a partially finished basement. Upgrades include new LVP flooring, updated powder and laundry rooms, a [Redacted entity], EV charger, sprinkler system, 100K retaining walls, and a fully fenced yard. Close to transit, shopping, and more.",1049000,1125829,,2,4,3,2,2,7748,1.07324
townhomes,"The Amberley model showcases a chef's dream kitchen with stone countertops, stainless steel appliances, and a gas cooktop, flowing from a stunning two-story foyer into the gourmet kitchen, great room, and casual dining area perfect for everyday living and entertaining. The first-floor primary suite features two walk-in closets and a spa-like bath with dual vanities and a seated shower, while the great room offers a cozy gas fireplace for winter nights. Upstairs includes two bedrooms, a full bath, unfinished storage, and a versatile loft overlooking the living space below. The fully finished basement adds additional living space with an extra room and convenient half bath, ideal for guests, a home office, or recreation. Outside, a spacious deck overlooks the backyard backing to preserved land, providing privacy and peaceful natural views, and high-end finishes along with a first-floor flex space complete this beautifully designed home.",1399000,1350000,2783,,3,4,2,2,7059,0.964975
single_family,"JCM Development delivers once again, seamlessly blending high-end craftsmanship with a thoughtfully designed custom floor plan that maximizes both luxury and functionality. This meticulously built home will feature five spacious bedrooms, each with its own en-suite bath, along with two well-placed powder rooms for added convenience. The home offers additional living space that opens directly to a spacious backyard and ground-level entertaining area, complete with a 12' x 22' gunite pool. Nearly 700 square feet of enclosed garage and ground-level space provides ample storage and flexibility + over 600 square feet of deck space including large southern-facing decks. Perfectly situated in the heart of Avalon's renowned downtown business district, this home is just a short walk to the Union League Whitebrier, boutique shopping, dining, the beach, and bay access at the 23rd Street public dock. Act now for the opportunity to work one-on-one with the builder to customize finishes and details to your vision. Photos shown are of a similar home previously built by JCM Development. Estimated completion mid June 2026",3795000,3700000,2945,3,5,5,5,,8202,0.974967
single_family,"This well-maintained 2-bedroom, 1-bath ranch offers an updated kitchen with granite countertops, tile backsplash, and white shaker cabinets, as well as an updated bathroom and new plank flooring throughout. Situated on a 75 x 100 lot, the property includes a fenced-in rear yard, screened porch, and outdoor shower-perfect for relaxing or entertaining. Located just a few short blocks from the mulligan sports complex and community park, which underwent major renovations in 2022 and now provides a little something for everyone to enjoy. Whether you're looking for a starter or retirement home, or an investment opportunity, this move-in-ready property is a must-see and easy to show.",349900,340000,768,,2,1,1,,8251,0.971706
condos,"LOCATION, [Redacted entity], LOCATION! Sun-filled 2-bedroom, 1-bath condo with over [Redacted entity], just a 12-minute walk to the Journal Square PATH with a bus stop right at your doorstep for easy commuting. This first-floor unit features tall loft-style ceilings and a bright open layout with modern finishes, creating a spacious and inviting feel. Both oversized bedrooms can comfortably fit king-size beds, and the unit offers five large closets, including three in the main living area, providing exceptional storage. The apartment faces the rear of the building, offering a quiet setting away from [Redacted entity] traffic. Laundry room in the building and a well-maintained, peaceful property. Conveniently located near Saint Peter's University, New Jersey City University, Lincoln Park, shops, restaurants, and cafes, making it ideal for both homeowners and investors. Maintenance fees include heat, hot water and building maintenance, building insurance.",307500,307500,702,,2,1,1,,7306,1
single_family,"Welcome to where timeless charm meets modern comfort on one of the area's most coveted cul-de-sac streets. Set on over an acre of beautifully sprawling grounds, this exceptional home offers privacy and striking curb appeal from the moment you arrive. Inside, the heart of the home is a stunning, thoughtfully designed kitchen featuring abundant counter space, a large center island with seating for 4, granite countertops, subway tile, and custom cabinetry. High-end appliances, including a Sub-Zero refrigerator, decorative hood, and beverage fridge, make this space as functional as it is beautiful perfect for both everyday living and entertaining. The formal living and dining rooms are generously sized for gatherings, while the inviting family room adds warmth and character. Hardwood floors flow throughout, complemented by first-floor laundry and updated bathrooms for everyday convenience. Upstairs, spacious bedrooms offer room to grow, including a serene primary suite with a walk-in closet and updated private bath. The finished basement provides flexibility with a recreation room or home gym, private office or guest room, and a full bath for today's lifestyle needs. Step outside and experience what truly sets this home apart: a spectacular property with a wraparound porch, circular driveway, and grounds that invite relaxation, play, and entertaining. Close to Coles Elem and Terrill Middle Schools, with bussing to SPF High School. Simply unpack and start your next chapter.",1395000,1650000,,,4,4,3,2,7076,1.182796
single_family,"[Redacted entity] living in this 3-bedroom, 3-full-bath home in Sparta, NJ, offering panoramic lake views and incredible sunsets. This 2, 093 Sq. Ft. lakefront property features multiple outdoor areas for relaxing and entertaining with direct access to Lake Mohawk. The main level includes an open living area with access to an upper deck for morning coffee or afternoon glass of wine. The large windows capture year round lake views. The kitchen features granite counters, SS appliances and convenient access to the patio for outdoor dining.The primary suite provides beautiful lake views and an en-suite full bath. An additional bedroom on the main level is generously sized, with generous closet space and additional full bath. The lower level open floor plan offers flexible living space ideal for a family room, dining room, a 3rd bedroom (currently a home office). The kitchen features granite counters, SS appliances and convenient access to the patio for outdoor dining. The lower level has another full bathroom.Recent updates include a natural gas conversion, new furnace, new hot water heater, new roof and many others adding comfort and efficiency. Outside, enjoy the deck, patio, gazebo and yard space leading toward the lake, perfect for boating, swimming, fishing, year round actiivity. Located close to Lake Mohawk's boardwalk, beaches, dining, and Sparta town center, this property offers a rare opportunity for lakefront living with sweeping views and stunning sunsets.",1499900,1450000,2093,,3,3,3,1,7871,0.966731
single_family,"***ABSECON NEW [Redacted entity]***4 BED 3.5 BATH 3 STORY HOME***4,000 SQFT OF LIVIABLE SPACE***DOWNSTAIRS EN SUITE FEATURES KITCHENETE, BEDROOM AND FULL BATH***THREE SEASON ROOM***IN GROUND POOL***NEWER POOL HEATER***INCREDIBLE VIEWS OF THE AC SKYLINE*** Fabulous on Faunce Landing ~ a rare gem in the heart of Absecon's Marina Bay District. Perfectly positioned in the coveted Faunce Landing neighborhood, this custom-built traditional contemporary home offers approximately 4,000 square feet of beautifully designed living space and unforgettable bayfront views with the Atlantic City skyline as your backdrop. From the moment you enter, you're greeted by a dramatic, light-filled two-story foyer that sets the tone for this entertainer's dream. The open layout flows effortlessly into a stunning two-story great room with fireplace, wet bar, hardwood floors, and elegant transom windows that flood the home with natural light. The custom kitchen, complete with 42"" cabinetry, anchors the main living area and makes hosting a breeze. Multi-zoned HVAC ensures every level of the home is perfectly climate-controlled year-round. This three-level home features four spacious bedrooms and 3.5 bathrooms, with the upper level offering a thoughtfully designed layout including a laundry area and updated baths. Every inch of space has been intentionally utilized, creating a home that feels both expansive and functional. The lower level en suite is ideal for guests, in-laws, or hosting unforgettable gatherings, with direct access to the three-season room and backyard oasis. Step outside to enjoy the large in-ground pool, multiple outdoor entertaining areas, and two decks showcasing sweeping bay views and dazzling Atlantic City skyline sunsets, a front-row seat to summer fireworks and waterfront living at its finest. Completing the property is a three-car attached garage with a versatile loft above, perfect for extra storage, a home office, gym, or playroom. This home truly checks every box: loca",699000,680000,4000,3,4,4,3,3,8201,0.972818
single_family,"CLASSIC STUNNER IN COVETED CHATHAM NEIGHBORHOOD! Tucked in the Lafayette section, this 1930s Colonial impresses w/ elegant, period details (original hardwood floors, delightful built-ins, rattan light fixtures) updated for modern living. Stately curb appeal w/ classic architecture, meticulous landscaping, and bluestone walkway to Front Portico leading into gracious Entry Foyer. Living Room boasts gas fireplace with brick surround, original woodwork/bookcases, glass door to Covered Deck, and 4 sun-filled windows. Dining Room scaled for large gatherings. Chef's Kitchen updated with Peninsula seating, s/s appliances (inc. Viking stove/hood), and lovely shuttered window overlooking Patio. Graceful staircase w/ window on landing beckons up to 4 generous Bedrooms, all with hardwood floors. Full Hall Bath updated w/ glass-door tub/shower, storage cabinet, marble counters, shuttered window. [Redacted entity] w/ built-in dressers, window seat, large Closet, rattan pendant light. En-Suite Bathroom w/glass-door shower, storage cabinet, marble counters, wainscoting. Brand new (2025) Lower Level renovation includes Laundry Room and lots of bright space to use as Home Office, [Redacted entity], Play Room, etc. Freshly Painted Inside and Out! [Redacted entity], tree-lined [Redacted entity] w/ room for garden and games, [Redacted entity] w/ ceiling fan, and more! Blocks to NYC train, top-notch schools, and bustling downtown Chatham, 30 [Redacted entity] is poised to please!",1399000,1500000,,,4,3,2,1,7928,1.072194
